0,4
0,6
0,16
0,32
0,33
0,47
0,94
0,131
0,141
0,142
0,146
0,167
0,196
0,211
0,219
0,251
0,270
0,363
0,370
0,404
0,441
0,445
0,501
0,502
0,510
0,531
0,548
0,573
0,579
0,638
0,664
0,689
0,699
0,793
0,819
0,886
0,957
1,2
1,6
1,43
1,63
1,80
1,125
1,142
1,254
1,314
1,315
1,317
1,343
1,523
1,531
1,540
1,542
1,566
1,593
1,627
1,628
1,634
1,850
2,0
2,4
2,43
2,48
2,65
2,135
2,140
2,150
2,151
2,172
2,200
2,251
2,273
2,281
2,320
2,453
2,534
2,579
2,875
3,67
3,77
3,174
3,328
3,400
3,500
3,516
3,673
3,772
3,837
4,0
4,17
4,51
4,73
4,129
4,137
4,193
4,411
4,453
4,484
4,500
4,502
4,630
4,668
4,884
4,929
4,936
5,0
5,38
5,40
5,159
5,254
5,272
5,317
5,392
5,507
5,692
6,0
6,1
6,16
6,157
6,284
6,320
6,477
6,500
6,516
6,562
7,40
7,81
7,154
7,202
7,220
7,280
7,937
8,2
8,14
8,135
8,153
8,189
8,268
8,290
8,297
8,402
8,501
8,551
8,552
8,855
9,0
9,66
9,79
9,131
9,317
9,566
9,750
9,752
9,785
9,946
10,1
10,8
10,36
10,59
10,131
10,269
10,315
10,518
10,536
10,568
10,639
11,63
11,328
12,0
12,35
12,275
12,277
12,422
12,750
13,20
13,378
13,563
14,63
14,408
14,475
14,532
14,634
14,719
14,789
15,4
16,7
16,8
16,33
16,36
16,40
16,43
16,48
16,64
16,79
16,86
16,174
16,266
16,301
16,360
16,399
16,535
16,546
16,567
16,709
17,1
17,177
17,640
17,974
18,12
18,65
18,149
18,192
18,251
18,273
18,531
18,548
19,376
19,640
20,150
20,188
20,275
20,347
20,426
20,784
21,165
21,329
21,988
22,250
22,356
22,438
22,781
22,788
23,89
23,178
24,7
24,67
24,126
24,148
24,164
24,221
24,252
24,445
24,626
24,719
24,751
24,765
24,914
25,48
25,357
25,375
25,542
26,6
27,39
27,374
28,0
28,8
28,246
28,250
28,522
28,758
29,150
29,298
30,24
30,594
31,72
32,7
32,8
32,9
32,383
32,399
32,441
32,507
32,567
32,642
32,643
32,645
32,758
32,795
32,907
32,939
33,0
33,12
33,57
33,72
33,125
33,200
33,268
33,469
33,533
33,830
34,4
34,20
34,48
34,188
34,324
34,333
34,667
34,820
35,10
35,41
35,314
35,380
36,125
36,167
36,286
36,315
36,469
36,699
36,871
37,16
37,189
37,375
37,516
37,517
38,1
38,43
38,212
38,502
38,793
39,35
39,844
40,8
40,23
40,71
40,99
40,255
40,313
40,628
40,816
40,882
41,25
41,143
41,535
41,549
41,627
41,679
42,523
43,33
43,63
43,73
43,500
44,394
45,38
47,86
47,259
47,290
47,393
47,438
47,661
47,828
48,6
48,68
48,73
48,489
48,535
48,556
49,8
49,72
49,254
49,595
49,752
50,336
50,376
50,556
51,65
51,259
51,879
52,10
52,507
52,930
53,67
53,90
53,127
53,500
54,94
54,157
55,24
55,500
57,8
58,758
59,344
59,750
60,47
60,751
63,20
63,29
63,40
63,48
63,61
63,73
